"Temperature (C)","Pressure (kpa)","Cloud Cover (%)","Wind Direction (deg)","Wind Speed (kmh)","Time"
14,1009,0,331,4,"2018-03-21 04:00:00"
16,1009,0,323,4,"2018-03-21 05:00:00"
16,1010,0,316,5,"2018-03-21 06:00:00"
18,1010,0,311,6,"2018-03-21 07:00:00"
20,1010,0,307,8,"2018-03-21 08:00:00"
22,1010,0,303,10,"2018-03-21 09:00:00"
24,1009,0,300,13,"2018-03-21 10:00:00"
24,1008,0,298,16,"2018-03-21 11:00:00"
26,1007,0,295,19,"2018-03-21 12:00:00"
24,1007,0,298,20,"2018-03-21 13:00:00"
24,1006,1,302,21,"2018-03-21 14:00:00"
22,1006,1,305,22,"2018-03-21 15:00:00"
22,1006,2,305,19,"2018-03-21 16:00:00"
20,1006,4,305,17,"2018-03-21 17:00:00"
18,1007,5,305,14,"2018-03-21 18:00:00"
18,1007,4,300,11,"2018-03-21 19:00:00"
18,1007,3,296,8,"2018-03-21 20:00:00"
16,1008,2,291,4,"2018-03-21 21:00:00"
16,1008,2,298,4,"2018-03-21 22:00:00"
16,1007,2,305,4,"2018-03-21 23:00:00"
14,1007,2,313,4,"2018-03-22 00:00:00"
14,1007,3,315,3,"2018-03-22 01:00:00"
14,1007,3,318,3,"2018-03-22 02:00:00"
14,1007,4,320,2,"2018-03-22 03:00:00"
14,1008,4,319,2,"2018-03-22 04:00:00"
16,1008,4,318,2,"2018-03-22 05:00:00"
16,1008,3,317,3,"2018-03-22 06:00:00"
18,1008,3,300,5,"2018-03-22 07:00:00"
20,1008,3,283,7,"2018-03-22 08:00:00"
24,1008,3,267,9,"2018-03-22 09:00:00"
24,1007,3,271,13,"2018-03-22 10:00:00"
24,1007,3,276,17,"2018-03-22 11:00:00"
24,1006,3,281,21,"2018-03-22 12:00:00"
24,1006,3,288,20,"2018-03-22 13:00:00"
24,1005,4,296,18,"2018-03-22 14:00:00"
24,1005,4,304,17,"2018-03-22 15:00:00"
22,1005,5,304,16,"2018-03-22 16:00:00"
20,1006,5,303,15,"2018-03-22 17:00:00"
18,1006,6,303,14,"2018-03-22 18:00:00"
18,1007,6,287,10,"2018-03-22 19:00:00"
18,1007,7,270,6,"2018-03-22 20:00:00"
16,1008,7,254,3,"2018-03-22 21:00:00"
16,1008,7,248,3,"2018-03-22 22:00:00"
16,1007,7,241,4,"2018-03-22 23:00:00"
16,1007,7,235,5,"2018-03-23 00:00:00"
16,1007,7,264,4,"2018-03-23 01:00:00"
14,1007,8,293,3,"2018-03-23 02:00:00"
14,1007,8,322,1,"2018-03-23 03:00:00"
16,1008,12,293,1,"2018-03-23 04:00:00"
16,1008,15,265,1,"2018-03-23 05:00:00"
16,1009,18,236,1,"2018-03-23 06:00:00"
18,1009,17,259,3,"2018-03-23 07:00:00"
20,1009,16,282,4,"2018-03-23 08:00:00"
22,1010,15,305,6,"2018-03-23 09:00:00"
24,1009,14,303,9,"2018-03-23 10:00:00"
24,1008,13,300,13,"2018-03-23 11:00:00"
26,1008,12,298,16,"2018-03-23 12:00:00"
24,1008,10,295,17,"2018-03-23 13:00:00"
24,1007,9,291,18,"2018-03-23 14:00:00"
22,1007,7,288,18,"2018-03-23 15:00:00"
20,1008,7,289,16,"2018-03-23 16:00:00"
20,1008,7,291,14,"2018-03-23 17:00:00"
18,1008,6,293,12,"2018-03-23 18:00:00"
16,1009,6,296,11,"2018-03-23 19:00:00"
16,1010,7,299,10,"2018-03-23 20:00:00"
16,1010,7,302,9,"2018-03-23 21:00:00"
14,1010,6,285,6,"2018-03-23 22:00:00"
14,1010,4,267,4,"2018-03-23 23:00:00"
14,1009,3,250,1,"2018-03-24 00:00:00"
14,1010,3,181,1,"2018-03-24 01:00:00"
14,1010,3,112,2,"2018-03-24 02:00:00"
14,1010,4,43,2,"2018-03-24 03:00:00"
14,1010,3,32,3,"2018-03-24 04:00:00"
14,1011,3,21,3,"2018-03-24 05:00:00"
16,1011,2,10,4,"2018-03-24 06:00:00"
18,1011,3,107,5,"2018-03-24 07:00:00"
22,1011,3,204,6,"2018-03-24 08:00:00"
24,1011,3,301,6,"2018-03-24 09:00:00"
24,1010,3,299,11,"2018-03-24 10:00:00"
26,1010,3,297,16,"2018-03-24 11:00:00"
26,1009,2,295,21,"2018-03-24 12:00:00"
26,1008,2,297,20,"2018-03-24 13:00:00"
24,1008,2,299,19,"2018-03-24 14:00:00"
24,1007,2,302,18,"2018-03-24 15:00:00"
22,1008,2,300,17,"2018-03-24 16:00:00"
20,1008,2,298,15,"2018-03-24 17:00:00"
18,1008,2,297,14,"2018-03-24 18:00:00"
18,1009,1,294,10,"2018-03-24 19:00:00"
18,1009,1,291,6,"2018-03-24 20:00:00"
16,1010,0,287,2,"2018-03-24 21:00:00"
16,1010,0,266,2,"2018-03-24 22:00:00"
16,1010,0,244,1,"2018-03-24 23:00:00"
16,1010,0,222,1,"2018-03-25 00:00:00"
14,1009,0,178,1,"2018-03-25 01:00:00"
14,1009,0,134,1,"2018-03-25 02:00:00"
14,1009,0,90,1,"2018-03-25 03:00:00"
14,1010,0,69,1,"2018-03-25 04:00:00"
16,1011,0,48,2,"2018-03-25 05:00:00"
18,1011,0,28,2,"2018-03-25 06:00:00"
20,1011,0,109,4,"2018-03-25 07:00:00"
22,1011,0,190,6,"2018-03-25 08:00:00"
26,1011,0,271,7,"2018-03-25 09:00:00"
26,1011,0,277,12,"2018-03-25 10:00:00"
26,1010,0,283,17,"2018-03-25 11:00:00"
26,1009,0,289,21,"2018-03-25 12:00:00"
24,1009,0,290,20,"2018-03-25 13:00:00"
24,1009,0,291,18,"2018-03-25 14:00:00"
22,1008,0,292,16,"2018-03-25 15:00:00"
20,1009,0,295,14,"2018-03-25 16:00:00"
18,1010,0,299,12,"2018-03-25 17:00:00"
18,1010,0,303,9,"2018-03-25 18:00:00"
18,1010,0,320,7,"2018-03-25 19:00:00"
18,1011,0,337,4,"2018-03-25 20:00:00"
16,1011,0,354,1,"2018-03-25 21:00:00"
16,1011,0,346,3,"2018-03-25 22:00:00"
16,1010,0,337,5,"2018-03-25 23:00:00"
16,1010,0,329,7,"2018-03-26 00:00:00"
16,1010,0,223,6,"2018-03-26 01:00:00"
14,1010,0,116,6,"2018-03-26 02:00:00"
14,1010,0,10,5,"2018-03-26 03:00:00"
14,1011,0,12,6,"2018-03-26 04:00:00"
16,1011,0,14,7,"2018-03-26 05:00:00"
16,1012,0,16,7,"2018-03-26 06:00:00"
20,1012,0,111,7,"2018-03-26 07:00:00"
22,1012,0,206,6,"2018-03-26 08:00:00"
24,1012,0,301,6,"2018-03-26 09:00:00"
26,1011,0,294,10,"2018-03-26 10:00:00"
26,1011,0,286,14,"2018-03-26 11:00:00"
28,1010,0,279,19,"2018-03-26 12:00:00"
26,1009,0,287,19,"2018-03-26 13:00:00"
24,1009,0,295,18,"2018-03-26 14:00:00"
22,1008,0,303,18,"2018-03-26 15:00:00"
20,1009,1,305,16,"2018-03-26 16:00:00"
20,1009,1,306,13,"2018-03-26 17:00:00"
18,1010,2,308,11,"2018-03-26 18:00:00"
18,1010,2,309,9,"2018-03-26 19:00:00"
18,1010,3,311,8,"2018-03-26 20:00:00"
16,1011,3,313,6,"2018-03-26 21:00:00"
16,1010,4,317,7,"2018-03-26 22:00:00"
16,1010,4,321,7,"2018-03-26 23:00:00"
16,1010,5,325,7,"2018-03-27 00:00:00"
14,1010,5,219,7,"2018-03-27 01:00:00"
14,1009,5,113,7,"2018-03-27 02:00:00"
14,1009,5,8,6,"2018-03-27 03:00:00"
14,1010,5,12,7,"2018-03-27 04:00:00"
16,1010,4,17,7,"2018-03-27 05:00:00"
16,1011,4,22,7,"2018-03-27 06:00:00"
20,1010,4,112,5,"2018-03-27 07:00:00"
22,1010,4,202,4,"2018-03-27 08:00:00"
24,1010,4,291,2,"2018-03-27 09:00:00"
26,1010,4,285,7,"2018-03-27 10:00:00"
26,1009,3,280,12,"2018-03-27 11:00:00"
28,1008,3,274,17,"2018-03-27 12:00:00"
26,1008,3,279,18,"2018-03-27 13:00:00"
24,1007,3,285,19,"2018-03-27 14:00:00"
22,1007,3,290,19,"2018-03-27 15:00:00"
22,1007,3,293,18,"2018-03-27 16:00:00"
20,1008,3,296,16,"2018-03-27 17:00:00"
18,1008,3,299,14,"2018-03-27 18:00:00"
18,1009,2,300,11,"2018-03-27 19:00:00"
16,1009,1,302,8,"2018-03-27 20:00:00"
16,1010,0,303,5,"2018-03-27 21:00:00"
16,1010,1,305,5,"2018-03-27 22:00:00"
16,1009,2,307,6,"2018-03-27 23:00:00"
16,1009,3,309,6,"2018-03-28 00:00:00"
14,1009,4,211,6,"2018-03-28 01:00:00"
14,1010,6,114,6,"2018-03-28 02:00:00"
14,1010,7,16,5,"2018-03-28 03:00:00"
14,1010,8,18,6,"2018-03-28 04:00:00"
16,1011,9,21,6,"2018-03-28 05:00:00"
16,1011,11,23,7,"2018-03-28 06:00:00"
18,1011,11,68,5,"2018-03-28 07:00:00"
20,1011,12,113,3,"2018-03-28 08:00:00"
22,1011,13,158,1,"2018-03-28 09:00:00"
24,1011,12,196,5,"2018-03-28 10:00:00"
26,1010,11,234,8,"2018-03-28 11:00:00"
26,1009,11,272,12,"2018-03-28 12:00:00"
26,1009,12,275,13,"2018-03-28 13:00:00"
24,1008,13,279,15,"2018-03-28 14:00:00"
22,1007,13,283,17,"2018-03-28 15:00:00"
20,1008,13,281,15,"2018-03-28 16:00:00"
18,1008,12,280,14,"2018-03-28 17:00:00"
18,1009,11,279,13,"2018-03-28 18:00:00"
16,1009,9,281,10,"2018-03-28 19:00:00"
16,1010,7,282,8,"2018-03-28 20:00:00"
16,1010,5,284,5,"2018-03-28 21:00:00"
16,1010,4,289,6,"2018-03-28 22:00:00"
14,1009,3,294,8,"2018-03-28 23:00:00"
14,1009,2,299,9,"2018-03-29 00:00:00"
14,1009,2,200,7,"2018-03-29 01:00:00"
14,1009,1,102,5,"2018-03-29 02:00:00"
14,1009,0,3,3,"2018-03-29 03:00:00"
14,1010,0,121,2,"2018-03-29 04:00:00"
16,1010,0,239,1,"2018-03-29 05:00:00"
16,1010,0,356,0,"2018-03-29 06:00:00"
18,1010,0,327,3,"2018-03-29 07:00:00"
20,1011,0,298,5,"2018-03-29 08:00:00"
22,1011,0,269,8,"2018-03-29 09:00:00"
22,1010,0,272,12,"2018-03-29 10:00:00"
24,1009,0,275,15,"2018-03-29 11:00:00"
24,1008,0,278,19,"2018-03-29 12:00:00"
24,1008,0,286,18,"2018-03-29 13:00:00"
22,1007,0,293,17,"2018-03-29 14:00:00"
22,1007,0,300,15,"2018-03-29 15:00:00"
20,1007,0,301,14,"2018-03-29 16:00:00"
20,1008,0,301,12,"2018-03-29 17:00:00"
18,1008,0,302,10,"2018-03-29 18:00:00"
18,1009,0,303,8,"2018-03-29 19:00:00"
18,1009,0,304,6,"2018-03-29 20:00:00"
16,1010,0,304,4,"2018-03-29 21:00:00"
16,1009,0,309,5,"2018-03-29 22:00:00"
16,1009,0,314,5,"2018-03-29 23:00:00"
16,1009,0,319,6,"2018-03-30 00:00:00"
16,1009,0,220,6,"2018-03-30 01:00:00"
14,1009,0,122,6,"2018-03-30 02:00:00"
14,1009,0,24,5,"2018-03-30 03:00:00"
16,1009,1,26,5,"2018-03-30 04:00:00"
16,1010,2,28,5,"2018-03-30 05:00:00"
18,1010,3,30,5,"2018-03-30 06:00:00"
20,1010,3,119,6,"2018-03-30 07:00:00"
22,1010,4,209,7,"2018-03-30 08:00:00"
24,1011,4,299,8,"2018-03-30 09:00:00"
24,1010,3,296,12,"2018-03-30 10:00:00"
26,1009,3,293,16,"2018-03-30 11:00:00"
26,1009,3,290,20,"2018-03-30 12:00:00"
24,1008,4,291,19,"2018-03-30 13:00:00"
24,1008,4,293,18,"2018-03-30 14:00:00"
22,1007,5,295,17,"2018-03-30 15:00:00"
22,1008,5,297,16,"2018-03-30 16:00:00"
20,1008,5,299,15,"2018-03-30 17:00:00"
18,1008,5,301,14,"2018-03-30 18:00:00"
18,1009,3,304,11,"2018-03-30 19:00:00"
18,1010,2,307,8,"2018-03-30 20:00:00"
18,1010,0,309,4,"2018-03-30 21:00:00"
16,1010,1,301,5,"2018-03-30 22:00:00"
16,1009,2,293,5,"2018-03-30 23:00:00"
16,1009,2,286,5,"2018-03-31 00:00:00"
16,1009,3,249,4,"2018-03-31 01:00:00"
16,1009,4,212,3,"2018-03-31 02:00:00"
14,1009,5,176,2,"2018-03-31 03:00:00"
16,1009,6,192,2,"2018-03-31 04:00:00"
16,1010,6,209,2,"2018-03-31 05:00:00"
18,1010,7,226,1,"2018-03-31 06:00:00"
20,1010,7,243,4,"2018-03-31 07:00:00"
22,1010,6,259,6,"2018-03-31 08:00:00"
24,1010,6,276,9,"2018-03-31 09:00:00"
24,1010,6,280,12,"2018-03-31 10:00:00"
24,1009,5,283,15,"2018-03-31 11:00:00"
26,1008,4,287,19,"2018-03-31 12:00:00"
24,1008,5,290,19,"2018-03-31 13:00:00"
24,1007,5,293,19,"2018-03-31 14:00:00"
22,1007,6,296,19,"2018-03-31 15:00:00"
22,1007,6,293,16,"2018-03-31 16:00:00"
20,1007,6,291,14,"2018-03-31 17:00:00"
20,1008,6,288,11,"2018-03-31 18:00:00"
18,1008,7,278,9,"2018-03-31 19:00:00"
18,1009,7,268,8,"2018-03-31 20:00:00"
18,1010,8,258,6,"2018-03-31 21:00:00"
18,1009,8,260,6,"2018-03-31 22:00:00"
18,1009,9,262,7,"2018-03-31 23:00:00"
16,1008,9,264,7,"2018-04-01 00:00:00"
16,1009,10,289,6,"2018-04-01 01:00:00"
16,1009,11,314,6,"2018-04-01 02:00:00"
14,1009,12,339,5,"2018-04-01 03:00:00"
16,1009,13,232,5,"2018-04-01 04:00:00"
16,1010,14,124,5,"2018-04-01 05:00:00"
18,1010,16,17,5,"2018-04-01 06:00:00"
20,1010,16,100,6,"2018-04-01 07:00:00"
22,1011,17,183,8,"2018-04-01 08:00:00"
22,1011,17,266,9,"2018-04-01 09:00:00"
24,1010,17,265,12,"2018-04-01 10:00:00"
24,1009,17,264,15,"2018-04-01 11:00:00"
26,1008,17,263,18,"2018-04-01 12:00:00"
24,1008,15,270,18,"2018-04-01 13:00:00"
24,1008,14,277,18,"2018-04-01 14:00:00"
22,1007,13,284,18,"2018-04-01 15:00:00"
22,1008,12,279,15,"2018-04-01 16:00:00"
20,1008,12,274,12,"2018-04-01 17:00:00"
18,1009,11,269,9,"2018-04-01 18:00:00"
18,1009,11,262,8,"2018-04-01 19:00:00"
18,1010,12,256,6,"2018-04-01 20:00:00"
18,1011,13,249,5,"2018-04-01 21:00:00"
18,1010,11,248,5,"2018-04-01 22:00:00"
18,1010,9,248,5,"2018-04-01 23:00:00"
16,1009,8,247,6,"2018-04-02 00:00:00"
16,1010,9,229,6,"2018-04-02 01:00:00"
16,1010,11,212,7,"2018-04-02 02:00:00"
16,1010,13,194,7,"2018-04-02 03:00:00"
16,1011,13,193,6,"2018-04-02 04:00:00"
18,1011,12,191,5,"2018-04-02 05:00:00"
18,1012,11,190,4,"2018-04-02 06:00:00"
20,1012,10,221,6,"2018-04-02 07:00:00"
22,1012,9,251,8,"2018-04-02 08:00:00"
24,1012,8,282,9,"2018-04-02 09:00:00"
24,1011,7,285,13,"2018-04-02 10:00:00"
26,1010,6,287,17,"2018-04-02 11:00:00"
26,1009,5,290,21,"2018-04-02 12:00:00"
26,1009,4,297,20,"2018-04-02 13:00:00"
26,1008,4,305,20,"2018-04-02 14:00:00"
24,1008,3,312,19,"2018-04-02 15:00:00"
24,1008,4,311,17,"2018-04-02 16:00:00"
22,1008,5,310,14,"2018-04-02 17:00:00"
22,1009,6,308,12,"2018-04-02 18:00:00"
22,1009,8,303,10,"2018-04-02 19:00:00"
20,1010,11,297,9,"2018-04-02 20:00:00"
20,1010,13,292,7,"2018-04-02 21:00:00"
20,1010,14,295,7,"2018-04-02 22:00:00"
20,1010,15,299,8,"2018-04-02 23:00:00"
18,1010,16,302,9,"2018-04-03 00:00:00"
18,1010,18,312,7,"2018-04-03 01:00:00"
18,1010,21,322,5,"2018-04-03 02:00:00"
18,1010,23,332,3,"2018-04-03 03:00:00"
20,1010,26,232,3,"2018-04-03 04:00:00"
20,1011,28,131,4,"2018-04-03 05:00:00"
22,1011,31,31,5,"2018-04-03 06:00:00"
22,1012,30,111,5,"2018-04-03 07:00:00"
22,1012,29,192,4,"2018-04-03 08:00:00"
24,1012,28,273,4,"2018-04-03 09:00:00"
24,1011,25,276,6,"2018-04-03 10:00:00"
26,1011,21,280,7,"2018-04-03 11:00:00"
26,1010,17,284,9,"2018-04-03 12:00:00"
28,1009,15,294,11,"2018-04-03 13:00:00"
28,1009,13,303,13,"2018-04-03 14:00:00"
28,1009,11,313,16,"2018-04-03 15:00:00"
26,1009,11,314,13,"2018-04-03 16:00:00"
26,1010,11,315,9,"2018-04-03 17:00:00"
24,1010,11,316,6,"2018-04-03 18:00:00"
22,1011,11,275,6,"2018-04-03 19:00:00"
22,1011,12,234,7,"2018-04-03 20:00:00"
20,1012,12,194,7,"2018-04-03 21:00:00"
20,1011,12,208,6,"2018-04-03 22:00:00"
20,1011,12,221,6,"2018-04-03 23:00:00"
20,1011,12,235,5,"2018-04-04 00:00:00"
18,1011,10,212,4,"2018-04-04 01:00:00"
18,1011,8,189,4,"2018-04-04 02:00:00"
18,1011,6,166,3,"2018-04-04 03:00:00"
18,1011,5,157,4,"2018-04-04 04:00:00"
20,1012,5,149,5,"2018-04-04 05:00:00"
20,1012,4,141,6,"2018-04-04 06:00:00"
22,1012,3,185,6,"2018-04-04 07:00:00"
24,1012,3,229,6,"2018-04-04 08:00:00"
26,1012,2,273,6,"2018-04-04 09:00:00"
28,1011,1,276,11,"2018-04-04 10:00:00"
28,1010,1,279,15,"2018-04-04 11:00:00"
28,1009,0,282,20,"2018-04-04 12:00:00"
28,1009,0,290,19,"2018-04-04 13:00:00"
28,1008,0,298,18,"2018-04-04 14:00:00"
26,1008,0,306,17,"2018-04-04 15:00:00"
26,1008,0,308,14,"2018-04-04 16:00:00"
26,1009,0,310,12,"2018-04-04 17:00:00"
24,1009,0,313,10,"2018-04-04 18:00:00"
24,1009,0,302,9,"2018-04-04 19:00:00"
22,1010,0,292,7,"2018-04-04 20:00:00"
20,1010,0,281,6,"2018-04-04 21:00:00"
20,1010,0,279,5,"2018-04-04 22:00:00"
20,1009,0,278,4,"2018-04-04 23:00:00"
20,1009,0,276,3,"2018-04-05 00:00:00"
18,1009,0,193,2,"2018-04-05 01:00:00"
18,1009,0,110,2,"2018-04-05 02:00:00"
18,1008,0,27,2,"2018-04-05 03:00:00"
20,1009,0,31,2,"2018-04-05 04:00:00"
20,1009,0,36,3,"2018-04-05 05:00:00"
22,1009,0,40,3,"2018-04-05 06:00:00"
24,1009,0,125,5,"2018-04-05 07:00:00"
26,1009,0,211,7,"2018-04-05 08:00:00"
28,1009,0,296,9,"2018-04-05 09:00:00"
30,1009,0,297,12,"2018-04-05 10:00:00"
30,1008,0,298,15,"2018-04-05 11:00:00"
30,1007,0,299,19,"2018-04-05 12:00:00"
30,1007,0,300,18,"2018-04-05 13:00:00"
28,1006,0,301,16,"2018-04-05 14:00:00"
28,1006,0,302,15,"2018-04-05 15:00:00"
26,1006,0,296,14,"2018-04-05 16:00:00"
24,1007,0,291,13,"2018-04-05 17:00:00"
24,1007,0,285,12,"2018-04-05 18:00:00"
22,1008,0,278,10,"2018-04-05 19:00:00"
22,1008,0,271,8,"2018-04-05 20:00:00"
20,1009,0,264,6,"2018-04-05 21:00:00"
20,1009,0,258,6,"2018-04-05 22:00:00"
20,1008,0,252,6,"2018-04-05 23:00:00"
20,1008,0,246,6,"2018-04-06 00:00:00"
18,1008,0,260,5,"2018-04-06 01:00:00"
18,1008,0,274,4,"2018-04-06 02:00:00"
18,1008,0,289,3,"2018-04-06 03:00:00"
18,1008,0,281,3,"2018-04-06 04:00:00"
20,1009,0,273,4,"2018-04-06 05:00:00"
20,1010,0,265,4,"2018-04-06 06:00:00"
22,1010,0,257,7,"2018-04-06 07:00:00"
22,1010,0,249,11,"2018-04-06 08:00:00"
24,1011,0,241,14,"2018-04-06 09:00:00"
24,1010,0,246,15,"2018-04-06 10:00:00"
24,1009,0,252,17,"2018-04-06 11:00:00"
24,1008,0,258,18,"2018-04-06 12:00:00"
24,1008,0,263,17,"2018-04-06 13:00:00"
24,1008,0,268,16,"2018-04-06 14:00:00"
22,1008,0,273,14,"2018-04-06 15:00:00"
22,1009,0,273,12,"2018-04-06 16:00:00"
20,1009,0,273,10,"2018-04-06 17:00:00"
20,1010,0,273,8,"2018-04-06 18:00:00"
18,1010,0,268,7,"2018-04-06 19:00:00"
18,1010,0,263,5,"2018-04-06 20:00:00"
18,1010,0,258,4,"2018-04-06 21:00:00"
18,1010,0,266,4,"2018-04-06 22:00:00"
16,1010,1,273,4,"2018-04-06 23:00:00"
16,1010,1,281,4,"2018-04-07 00:00:00"
16,1009,1,304,4,"2018-04-07 01:00:00"
16,1009,0,327,4,"2018-04-07 02:00:00"
16,1009,0,350,4,"2018-04-07 03:00:00"
16,1010,0,233,5,"2018-04-07 04:00:00"
18,1010,0,117,6,"2018-04-07 05:00:00"
18,1011,0,0,7,"2018-04-07 06:00:00"
20,1011,0,103,8,"2018-04-07 07:00:00"
22,1011,0,206,9,"2018-04-07 08:00:00"
24,1011,0,309,10,"2018-04-07 09:00:00"
24,1010,0,306,14,"2018-04-07 10:00:00"
26,1009,0,303,17,"2018-04-07 11:00:00"
26,1008,0,300,21,"2018-04-07 12:00:00"
26,1008,0,305,20,"2018-04-07 13:00:00"
24,1007,0,311,18,"2018-04-07 14:00:00"
24,1007,0,316,17,"2018-04-07 15:00:00"
24,1007,0,313,16,"2018-04-07 16:00:00"
22,1008,0,310,14,"2018-04-07 17:00:00"
20,1008,0,308,13,"2018-04-07 18:00:00"
20,1009,0,307,11,"2018-04-07 19:00:00"
20,1009,0,306,10,"2018-04-07 20:00:00"
18,1010,0,305,8,"2018-04-07 21:00:00"
18,1009,0,310,9,"2018-04-07 22:00:00"
18,1009,0,315,10,"2018-04-07 23:00:00"
18,1008,0,319,12,"2018-04-08 00:00:00"
16,1008,0,329,11,"2018-04-08 01:00:00"
16,1008,0,339,10,"2018-04-08 02:00:00"
16,1008,0,348,10,"2018-04-08 03:00:00"
18,1009,0,352,10,"2018-04-08 04:00:00"
18,1009,0,355,10,"2018-04-08 05:00:00"
20,1010,0,358,10,"2018-04-08 06:00:00"
22,1010,0,344,10,"2018-04-08 07:00:00"
24,1010,0,329,10,"2018-04-08 08:00:00"
26,1010,0,314,10,"2018-04-08 09:00:00"
26,1010,0,310,14,"2018-04-08 10:00:00"
28,1009,0,305,18,"2018-04-08 11:00:00"
28,1008,0,300,21,"2018-04-08 12:00:00"
26,1008,0,304,20,"2018-04-08 13:00:00"
26,1008,0,307,19,"2018-04-08 14:00:00"
24,1007,0,311,18,"2018-04-08 15:00:00"
24,1008,0,306,16,"2018-04-08 16:00:00"
22,1008,0,301,13,"2018-04-08 17:00:00"
20,1009,0,296,10,"2018-04-08 18:00:00"
20,1009,0,297,10,"2018-04-08 19:00:00"
20,1010,0,298,9,"2018-04-08 20:00:00"
18,1010,0,299,8,"2018-04-08 21:00:00"
18,1010,0,304,9,"2018-04-08 22:00:00"
18,1010,0,309,9,"2018-04-08 23:00:00"
16,1009,0,313,10,"2018-04-09 00:00:00"
16,1009,0,209,9,"2018-04-09 01:00:00"
16,1009,0,105,7,"2018-04-09 02:00:00"
14,1010,0,0,5,"2018-04-09 03:00:00"
16,1010,0,6,5,"2018-04-09 04:00:00"
18,1010,0,12,4,"2018-04-09 05:00:00"
18,1011,0,18,3,"2018-04-09 06:00:00"
20,1011,0,104,5,"2018-04-09 07:00:00"
24,1011,0,190,6,"2018-04-09 08:00:00"
26,1011,0,276,8,"2018-04-09 09:00:00"
26,1010,0,272,12,"2018-04-09 10:00:00"
26,1009,0,269,16,"2018-04-09 11:00:00"
26,1008,0,265,20,"2018-04-09 12:00:00"
26,1008,0,269,19,"2018-04-09 13:00:00"
24,1008,0,272,18,"2018-04-09 14:00:00"
24,1008,0,275,17,"2018-04-09 15:00:00"
22,1008,0,270,15,"2018-04-09 16:00:00"
22,1009,0,264,12,"2018-04-09 17:00:00"
20,1009,0,259,9,"2018-04-09 18:00:00"
20,1009,0,262,7,"2018-04-09 19:00:00"
20,1010,0,265,5,"2018-04-09 20:00:00"
18,1010,0,268,3,"2018-04-09 21:00:00"
18,1010,0,282,4,"2018-04-09 22:00:00"
18,1009,0,297,5,"2018-04-09 23:00:00"
18,1009,0,312,6,"2018-04-10 00:00:00"
16,1009,0,216,5,"2018-04-10 01:00:00"
16,1009,0,119,4,"2018-04-10 02:00:00"
16,1009,0,23,3,"2018-04-10 03:00:00"
16,1010,0,50,3,"2018-04-10 04:00:00"
18,1010,0,76,3,"2018-04-10 05:00:00"
18,1010,0,102,4,"2018-04-10 06:00:00"
22,1011,0,160,5,"2018-04-10 07:00:00"
24,1011,0,218,6,"2018-04-10 08:00:00"
28,1011,0,276,6,"2018-04-10 09:00:00"
28,1010,0,277,11,"2018-04-10 10:00:00"
28,1009,0,277,15,"2018-04-10 11:00:00"
28,1008,0,277,19,"2018-04-10 12:00:00"
28,1008,0,286,18,"2018-04-10 13:00:00"
28,1007,0,294,17,"2018-04-10 14:00:00"
26,1007,0,303,16,"2018-04-10 15:00:00"
24,1008,0,300,14,"2018-04-10 16:00:00"
24,1008,0,297,13,"2018-04-10 17:00:00"
22,1008,0,294,11,"2018-04-10 18:00:00"
22,1009,0,295,10,"2018-04-10 19:00:00"
20,1009,0,296,9,"2018-04-10 20:00:00"
20,1009,0,297,8,"2018-04-10 21:00:00"
18,1009,0,303,8,"2018-04-10 22:00:00"
18,1009,0,309,8,"2018-04-10 23:00:00"
18,1009,0,315,8,"2018-04-11 00:00:00"
16,1009,0,328,6,"2018-04-11 01:00:00"
16,1009,0,341,4,"2018-04-11 02:00:00"
16,1008,0,354,2,"2018-04-11 03:00:00"
16,1009,0,328,2,"2018-04-11 04:00:00"
18,1009,0,303,2,"2018-04-11 05:00:00"
18,1010,0,278,2,"2018-04-11 06:00:00"
20,1010,0,281,4,"2018-04-11 07:00:00"
24,1010,0,284,7,"2018-04-11 08:00:00"
26,1010,0,288,10,"2018-04-11 09:00:00"
26,1009,0,288,14,"2018-04-11 10:00:00"
26,1009,0,288,17,"2018-04-11 11:00:00"
26,1008,0,288,21,"2018-04-11 12:00:00"
26,1008,0,290,21,"2018-04-11 13:00:00"
24,1007,0,292,21,"2018-04-11 14:00:00"
24,1007,0,294,21,"2018-04-11 15:00:00"
22,1007,0,291,18,"2018-04-11 16:00:00"
20,1008,0,288,16,"2018-04-11 17:00:00"
20,1008,0,284,13,"2018-04-11 18:00:00"
18,1009,0,279,11,"2018-04-11 19:00:00"
18,1009,0,274,8,"2018-04-11 20:00:00"
18,1009,0,269,6,"2018-04-11 21:00:00"
16,1009,0,279,7,"2018-04-11 22:00:00"
16,1009,0,289,8,"2018-04-11 23:00:00"
16,1008,0,299,8,"2018-04-12 00:00:00"
16,1008,0,315,7,"2018-04-12 01:00:00"
14,1008,0,331,6,"2018-04-12 02:00:00"
14,1008,0,348,4,"2018-04-12 03:00:00"
16,1009,0,345,5,"2018-04-12 04:00:00"
16,1009,0,342,5,"2018-04-12 05:00:00"
16,1009,0,339,5,"2018-04-12 06:00:00"
20,1010,0,324,7,"2018-04-12 07:00:00"
22,1010,0,309,8,"2018-04-12 08:00:00"
24,1010,0,294,10,"2018-04-12 09:00:00"
24,1009,0,289,14,"2018-04-12 10:00:00"
24,1008,0,285,18,"2018-04-12 11:00:00"
